ICDNames,ICDCode
Sporadic Creutzfeldt-Jakob Disease,8E00
Acquired prion disease,8E01
Iatrogenically acquired Creutzfeldt-Jakob Disease,8E01.0
Kuru,8E01.1
Variant Creutzfeldt-Jakob Disease,8E01.2
Other acquired Creutzfeldt-Jakob Disease,8E01.3
Genetic prion diseases,8E02
Genetic Creutzfeldt-Jakob disease,8E02.0
Gerstmann-Straussler-Scheinker syndrome,8E02.1
Fatal familial insomnia,8E02.2
Other genetic prion diseases,8E02.3
Other specified Creutzfeldt-Jakob disease,8E02.Y
"Creutzfeldt-Jakob disease, unspecified",8E02.Z
Variably protease sensitive prionopathy,8E03
Other specified human prion diseases,8E0Y
"Human prion diseases, unspecified",8E0Z
Persistent vegetative state,8E20
Permanent vegetative state,8E21
Minimally conscious state,8E22
Minimally conscious state plus,8E22.0
Minimally conscious state minus,8E22.1
Other specified minimally conscious state,8E22.Y
"Minimally conscious state, unspecified",8E22.Z
Other specified disorders of consciousness,8E2Y
"Disorders of consciousness, unspecified",8E2Z
Disorders of the meninges excluding infection,8E40
Neoplastic meningitis,8E40.0
Chemical meningitis,8E40.1
Inflammatory meningitis,8E40.2
Arachnoiditis,8E40.3
Other specified disorders of the meninges excluding infection,8E40.Y
"Disorders of the meninges excluding infection, unspecified",8E40.Z
Pachymeningitis,8E41
Pachymeningitis due to infection,8E41.0
Idiopathic hypertrophic pachymeningitis,8E41.1
Other specified pachymeningitis,8E41.Y
"Pachymeningitis, unspecified",8E41.Z
Superficial siderosis of the nervous system,8E42
Pain disorders,8E43
Neuropathic pain,8E43.0
Other specified pain disorders,8E43.Y
"Pain disorders, unspecified",8E43.Z
Post anoxic brain damage,8E44
Locked-in syndrome,8E45
Reye syndrome,8E46
"Encephalopathy, not elsewhere classified",8E47
"Encephalitis, not elsewhere classified",8E48
Postviral fatigue syndrome,8E49
Paraneoplastic or autoimmune disorders of the nervous system,8E4A
"Paraneoplastic or autoimmune disorders of the central nervous system, brain or spinal cord",8E4A.0
Paraneoplastic or autoimmune disorders of the peripheral or autonomic nervous system,8E4A.1
Paraneoplastic or autoimmune neuromuscular transmission disorders,8E4A.2
Paraneoplastic or autoimmune disorders of the muscle,8E4A.3
Other specified paraneoplastic or autoimmune disorders of the nervous system,8E4A.Y
Other specified disorders of the nervous system,8E4Y
Post ventricular shunting leak,8E60
Post radiation injury of the nervous system,8E61
Brain irradiation,8E61.0
Spinal cord irradiation,8E61.1
Postprocedural meningitis,8E62
Post pump encephalopathy,8E63
Multifocal cerebral infarctions,8E64
Anoxic-ischaemic encephalopathy,8E65
Intracranial hypotension due to lumbar puncture,8E66
Other specified diseases of the nervous system,8E7Y
"Diseases of the nervous system, unspecified",8E7Z
Congenital malposition of eyelids,9A00
Dystopia canthorum,9A00.0
Telecanthus,9A00.1
Other specified congenital malposition of eyelids,9A00.Y
"Congenital malposition of eyelids, unspecified",9A00.Z
Infectious disorders of eyelid,9A01
Preseptal cellulitis,9A01.0
Abscess of eyelid,9A01.1
Hordeolum,9A01.2
Infectious blepharitis,9A01.3
Infestation of eyelid,9A01.4
Other specified infectious disorders of eyelid,9A01.Y
Inflammatory disorders of eyelid,9A02
Chalazion,9A02.0
Posterior blepharitis,9A02.1
Ligneous conjunctivitis,9A02.2
Meibomian gland dysfunction,9A02.4
Other specified inflammatory disorders of eyelid,9A02.Y
Acquired malposition of eyelid,9A03
Blepharoptosis,9A03.0
Entropion of eyelid,9A03.1
Ectropion of eyelid,9A03.2
Eyelid retraction,9A03.3
Lagophthalmos,9A03.4
Dermatochalasis of eyelid,9A03.5
Other specified acquired malposition of eyelid,9A03.Y
"Acquired malposition of eyelid, unspecified",9A03.Z
Acquired disorders of eyelashes,9A04
Trichiasis without entropion,9A04.0
Madarosis of eyelid or periocular area,9A04.1
Other specified acquired disorders of eyelashes,9A04.Y
Movement disorders of eyelid,9A05
Myokymia of eyelid,9A05.0
Eyelid apraxia,9A05.1
Other specified movement disorders of eyelid,9A05.Y
"Movement disorders of eyelid, unspecified",9A05.Z
Certain specified disorders of eyelid,9A06
Involvement of eyelid by dermatosis classified elsewhere,9A06.0
Vitiligo of eyelid or periocular area,9A06.1
"Symblepharon, acquired",9A06.2
Traumatic scar of eyelid,9A06.3
Xanthelasma of eyelid,9A06.4
Tear Trough Deformity,9A06.5
Sunken Sulcus Deformity,9A06.6
Dermatitis or eczema of eyelids,9A06.7
Blepharochalasis,9A06.8
Other specified disorders of eyelid,9A06.Y
Other specified disorders of eyelid or peri-ocular area,9A0Y
"Disorders of eyelid or peri-ocular area, unspecified",9A0Z
Disorders of lacrimal gland,9A10
Infections of the lacrimal gland,9A10.0
Orbital inflammatory syndrome,9A10.1
Benign lymphoepithelial lesion of lacrimal gland,9A10.2
Hyperlacrimation,9A10.3
Underproduction of tears,9A10.4
Other specified disorders of lacrimal gland,9A10.Y
"Disorders of lacrimal gland, unspecified",9A10.Z
Disorders of lacrimal drainage system,9A11
Eversion of lacrimal punctum,9A11.0
Canaliculitis,9A11.1
Dacryocystitis,9A11.2
Conjunctivochalasis,9A11.3
Punctal stenosis,9A11.4
Nasolacrimal canalicular stenosis,9A11.5
Dacryolith,9A11.6
Nasolacrimal sac stenosis,9A11.7
Nasolacrimal duct obstruction,9A11.8
Other specified disorders of lacrimal drainage system,9A11.Y
"Disorders of lacrimal drainage system, unspecified",9A11.Z
Other specified disorders of lacrimal apparatus,9A1Y
"Disorders of lacrimal apparatus, unspecified",9A1Z
Displacement of eyeball,9A20
Axial displacement of eyeball,9A20.0
Non-Axial displacement of eyeball,9A20.1
Other specified displacement of eyeball,9A20.Y
"Displacement of eyeball, unspecified",9A20.Z
Orbital infection,9A21
Orbital cellulitis,9A21.0
Orbital subperiosteal abscess,9A21.1
Orbital abscess,9A21.2
Periostitis of orbit,9A21.3
Other specified orbital infection,9A21.Y
"Orbital infection, unspecified",9A21.Z
Orbital inflammation,9A22
Dysthyroid orbitopathy,9A22.0
Diffuse orbital inflammation,9A22.1
Granulomatous orbital inflammation,9A22.2
Other specified orbital inflammation,9A22.Y
"Orbital inflammation, unspecified",9A22.Z
Orbital cyst,9A23
Congenital orbital cyst,9A23.0
Acquired orbital cyst,9A23.1
"Orbital cyst, unspecified",9A23.Z
Bony deformity of orbit,9A24
Contraction of orbit,9A24.0
Expansion of orbit,9A24.1
Distortion of orbit,9A24.2
Enlargement of bony orbit,9A24.3
Exostosis of orbit,9A24.4
Other specified bony deformity of orbit,9A24.Y
"Bony deformity of orbit, unspecified",9A24.Z
Soft tissue deformity of orbit,9A25
Anophthalmic socket,9A25.0
Microphthalmic socket,9A25.1
Contracted socket,9A25.2
Oedema of orbit,9A25.3
Haemorrhage of orbit,9A25.4
Atrophy of soft tissue of orbit,9A25.5
Other specified soft tissue deformity of orbit,9A25.Y
"Soft tissue deformity of orbit, unspecified",9A25.Z
Combined bony and soft tissue deformity of orbit,9A26
Other specified disorders of orbit,9A2Y
"Disorders of orbit, unspecified",9A2Z
Other specified disorders of the ocular adnexa or orbit,9A4Y
"Disorders of the ocular adnexa or orbit, unspecified",9A4Z
Conjunctivitis,9A60
Papillary conjunctivitis,9A60.0
Follicular conjunctivitis,9A60.1
Cicatrizing conjunctivitis,9A60.2
Mucopurulent conjunctivitis,9A60.3
Blepharoconjunctivitis,9A60.4
Vernal keratoconjunctivitis,9A60.5
"Serous conjunctivitis, except viral",9A60.6
Other specified conjunctivitis,9A60.Y
"Conjunctivitis, unspecified",9A60.Z
Certain specified disorders of conjunctiva,9A61
Pingueculae,9A61.0
Pterygium,9A61.1
Pseudopterygium of conjunctiva,9A61.2
Conjunctival scars,9A61.3
Conjunctival vascular disorders,9A61.4
Conjunctival or subconjunctival haemorrhage,9A61.5
Conjunctival or subconjunctival degenerations or deposits,9A61.6
"Certain specified disorders of conjunctiva, unspecified",9A61.Z
Mucous membrane pemphigoid with ocular involvement,9A62
Other specified disorders of conjunctiva,9A6Y
"Disorders of conjunctiva, unspecified",9A6Z
Hereditary corneal dystrophies,9A70
Endothelial corneal dystrophy,9A70.0
Other specified hereditary corneal dystrophies,9A70.Y
"Hereditary corneal dystrophies, unspecified",9A70.Z
Infectious keratitis,9A71
Traumatic keratitis,9A72
Exposure keratitis,9A73
Neurotrophic keratitis,9A74
Autoimmune keratitis,9A75
Corneal ulcer,9A76
Corneal scars or opacities,9A77
Contact lens-associated corneal infiltrates,9A77.0
Adherent leukoma,9A77.1
Other specified corneal scars or opacities,9A77.Y
"Corneal scars or opacities, unspecified",9A77.Z
Certain specified disorders of cornea,9A78
Corneal neovascularization,9A78.0
Corneal pigmentations or deposits,9A78.1
Corneal oedema,9A78.2
Changes in corneal membranes,9A78.3
Corneal degeneration,9A78.4
Corneal deformities,9A78.5
Anaesthesia of cornea,9A78.6
Hypoesthesia of cornea,9A78.7
Recurrent erosion of cornea,9A78.8
Corneal abscess,9A78.9
Sclerosing keratitis,9A78.A
"Certain specified disorders of cornea, unspecified",9A78.Z
Keratoconjunctivitis sicca,9A79
Other specified disorders of the cornea,9A7Y
"Disorders of the cornea, unspecified",9A7Z
Hyphaema,9A80
Parasites in the anterior chamber of the eye,9A81
Cyst in the anterior chamber of the eye,9A82
Flat anterior chamber hypotony of eye,9A83
Other specified disorders of the anterior chamber,9A8Y
"Disorders of the anterior chamber, unspecified",9A8Z
Degeneration of iris or ciliary body,9A90
Disorders of chamber angle,9A90.0
Degeneration of iris,9A90.1
Iris atrophy,9A90.2
Other specified degeneration of iris or ciliary body,9A90.Y
"Degeneration of iris or ciliary body, unspecified",9A90.Z
"Cyst of iris, ciliary body or anterior chamber",9A91
Persistent pupillary membranes,9A92
Adhesions or disruptions of iris or ciliary body,9A93
Certain specified disorders of iris or ciliary body,9A94
Rubeosis of iris,9A94.0
Floppy iris syndrome,9A94.1
Plateau iris syndrome,9A94.2
Other disorders of iris and ciliary body,9A94.Y
Anterior uveitis,9A96
Anterior uveitis not associated with systemic conditions,9A96.0
Anterior uveitis associated with systemic conditions,9A96.1
Infection-associated anterior uveitis,9A96.2
Primary anterior uveitis,9A96.3
Other specified anterior uveitis,9A96.Y
"Anterior uveitis, unspecified",9A96.Z
Other specified disorders of the anterior uvea,9A9Y
"Disorders of the anterior uvea, unspecified",9A9Z
Disorders of the afferent pupillary system,9B00
Relative afferent pupillary defects,9B00.0
Amaurotic pupillary reaction,9B00.1
Paradoxical pupillary reaction to light or darkness,9B00.2
Wernicke pupils,9B00.3
Other specified disorders of the afferent pupillary system,9B00.Y
"Disorders of the afferent pupillary system, unspecified",9B00.Z
Disorders of the efferent pupillary system,9B01
Physiologic anisocoria,9B01.0
Parasympathoparetic pupils,9B01.1
Pharmacologic inhibition of the parasympathetic pathway,9B01.2
Iris sphincter disorders,9B01.3
Pharmacologic parasympathicotonic pupils,9B01.4
Pharmacologic sympathoparetic pupils,9B01.5
Sympathotonic pupils,9B01.6
Episodic unilateral mydriasis,9B01.7
Other specified disorders of the efferent pupillary system,9B01.Y
"Disorders of the efferent pupillary system, unspecified",9B01.Z
Light-near dissociations,9B02
Argyll Robertson pupil,9B02.0
Pregeniculate light-near dissociations,9B02.1
Mesencephalic light-near dissociations,9B02.2
Other specified light-near dissociations,9B02.Y
"Light-near dissociations, unspecified",9B02.Z
Other specified functional disorders of the pupil,9B0Y
"Functional disorders of the pupil, unspecified",9B0Z
Cataract,9B10
Age-related cataract,9B10.0
Infantile or juvenile cataract,9B10.1
Certain specified cataracts,9B10.2
"Cataract, unspecified",9B10.Z
Certain specified disorders of lens,9B11
Aphakia,9B11.0
Dislocation of lens,9B11.1
Other disorders of lens,9B11.Y
"Disorders of lens, unspecified",9B1Z
Other specified disorders of the eyeball - anterior segment,9B3Y
"Disorders of the eyeball - anterior segment, unspecified",9B3Z
Episcleritis,9B50
Scleritis,9B51
Scleral staphyloma,9B52
Other specified disorders of sclera,9B5Y
"Disorders of sclera, unspecified",9B5Z
Choroidal degeneration,9B60
Choroidal dystrophy,9B61
Chorioretinal scars,9B62
Choroidal haemorrhage or rupture,9B63
Choroidal detachment,9B64
Choroiditis,9B65
Noninfectious posterior choroiditis,9B65.0
Infectious posterior choroiditis,9B65.1
Chorioretinal inflammation,9B65.2
"Choroiditis, unspecified",9B65.Z
Intermediate choroiditis,9B66
Noninfectious intermediate choroiditis,9B66.0
Infectious intermediate choroiditis,9B66.1
"Intermediate choroiditis, unspecified",9B66.Z
Other specified disorders of the choroid,9B6Y
"Disorders of the choroid, unspecified",9B6Z
Inherited retinal dystrophies,9B70
Retinopathy,9B71
Diabetic retinopathy,9B71.0
Hypertensive retinopathy,9B71.1
Radiation retinopathy,9B71.2
Retinopathy of prematurity,9B71.3
Paraneoplastic retinopathy,9B71.4
Autoimmune retinopathy,9B71.5
Other specified retinopathy,9B71.Y
"Retinopathy, unspecified",9B71.Z
Inflammatory diseases of the retina,9B72
Viral retinitis,9B72.0
Other specified inflammatory diseases of the retina,9B72.Y
"Inflammatory diseases of the retina, unspecified",9B72.Z
Retinal detachments or breaks,9B73
Retinal detachment with retinal break,9B73.0
Retinoschisis,9B73.1
Retinal cysts,9B73.2
Serous retinal detachment,9B73.3
Retinal breaks without detachment,9B73.4
Other specified retinal detachments or breaks,9B73.Y
"Retinal detachments or breaks, unspecified",9B73.Z
Retinal vascular occlusions,9B74
Retinal artery occlusions,9B74.0
Retinal venous occlusions,9B74.1
Combined retinal arterial and vein occlusion,9B74.2
Other specified retinal vascular occlusions,9B74.Y
"Retinal vascular occlusions, unspecified",9B74.Z
Macular disorders,9B75
Age-related macular degeneration,9B75.0
Non-traumatic macular hole,9B75.1
Central serous chorioretinopathy,9B75.2
Macular telangiectasia,9B75.3
Other specified macular disorders,9B75.Y
"Macular disorders, unspecified",9B75.Z
Degenerative high myopia,9B76
Eales disease,9B77
Certain specified retinal disorders,9B78
Retinal vasculopathy and cerebral leukodystrophy,9B78.0
Background retinopathy and retinal vascular changes,9B78.1
Other proliferative retinopathy,9B78.2
Degeneration of macula or posterior pole,9B78.3
Peripheral retinal degeneration,9B78.4
Retinal haemorrhage,9B78.5
Separation of retinal layers,9B78.6
Retinal oedema,9B78.7
Retinal ischaemia,9B78.8
Retinal atrophy,9B78.9
Other specified disorders of the retina,9B7Y
"Disorders of the retina, unspecified",9B7Z
Inherited vitreoretinal disorders,9B80
Posterior vitreous detachment,9B81
Vitreous prolapse,9B82
Vitreous haemorrhage,9B83
"Vitreous opacities, membranes or strands",9B84
Other specified disorders of the vitreous body,9B8Y
"Disorders of the vitreous body, unspecified",9B8Z
Other specified disorders of the eyeball - posterior segment,9C0Y
"Disorders of the eyeball - posterior segment, unspecified",9C0Z
Panuveitis,9C20
Noninfectious panuveitis,9C20.0
Infectious panuveitis,9C20.1
Purulent endophthalmitis,9C20.2
Other specified panuveitis,9C20.Y
"Panuveitis, unspecified",9C20.Z
Endophthalmitis,9C21
Sympathetic uveitis,9C21.0
Other specified endophthalmitis,9C21.Y
"Endophthalmitis, unspecified",9C21.Z
Eyeball deformity,9C22
Atrophic Bulbi,9C22.0
Phthisis Bulbi,9C22.1
Other specified eyeball deformity,9C22.Y
"Eyeball deformity, unspecified",9C22.Z
Other specified disorders of the eyeball affecting both anterior and posterior segments,9C2Y
"Disorders of the eyeball affecting both anterior and posterior segments, unspecified",9C2Z
Disorder of the optic nerve,9C40
Infectious optic neuropathy,9C40.0
Optic neuritis,9C40.1
Neuroretinitis,9C40.2
Perineuritis of optic nerve,9C40.3
Ischaemic optic neuropathy,9C40.4
Compressive optic neuropathy,9C40.5
Infiltrative optic neuropathy,9C40.6
Traumatic optic neuropathy,9C40.7
Hereditary optic neuropathy,9C40.8
Glaucomatous optic neuropathy,9C40.9
Optic disc swelling,9C40.A
Optic atrophy,9C40.B
Other specified disorder of the optic nerve,9C40.Y
"Disorder of the optic nerve, unspecified",9C40.Z
Disorder of optic chiasm,9C41
Disorder of post chiasmal visual pathways,9C42
Disorder of visual cortex,9C43
Disorder of higher visual centres,9C44
Other specified disorders of the visual pathways or centres,9C4Y
"Disorders of the visual pathways or centres, unspecified",9C4Z
Glaucoma suspect,9C60
Glaucoma,9C61
Primary open-angle glaucoma,9C61.0
Primary angle closure and angle closure glaucoma,9C61.1
Secondary open-angle glaucoma,9C61.2
Secondary angle closure glaucoma,9C61.3
Developmental glaucoma,9C61.4
"Glaucoma, unspecified",9C61.Z
Other specified glaucoma or glaucoma suspect,9C6Y
"Glaucoma or glaucoma suspect, unspecified",9C6Z
Non paralytic strabismus,9C80
Esotropia,9C80.0
Exotropia,9C80.1
Vertical or torsional strabismus,9C80.2
Intermittent strabismus,9C80.3
Heterophoria,9C80.4
Mechanical strabismus,9C80.5
Other specified non paralytic strabismus,9C80.Y
"Non paralytic strabismus, unspecified",9C80.Z
Ocular motor nerve palsies,9C81
Third nerve palsy,9C81.0
Fourth nerve palsy,9C81.1
Sixth nerve palsy,9C81.2
Total external ophthalmoplegia,9C81.3
Cavernous sinus syndromes,9C81.4
Palsy of other specified ocular motor nerve,9C81.Y
Palsy of unspecified ocular motor nerve,9C81.Z
Disorders of extraocular muscles,9C82
Progressive external ophthalmoplegia,9C82.0
Muscular dystrophy affecting extraocular muscle,9C82.1
Congenital cranial dysinnervation syndrome,9C82.2
Restrictive ophthalmopathy,9C82.3
Oculomotor apraxia,9C82.4
Other specified disorders of extraocular muscles,9C82.Y
"Disorders of extraocular muscles, unspecified",9C82.Z
Disorders of binocular movement,9C83
Palsy of conjugate gaze,9C83.0
Spasm of conjugate gaze,9C83.1
Convergence insufficiency,9C83.2
Convergence excess,9C83.3
Spasm of the near reflex,9C83.4
Internuclear ophthalmoplegia,9C83.5
Anomalies of divergence or deviation of eye movement,9C83.6
Other specified disorders of binocular movement,9C83.Y
"Disorders of binocular movement, unspecified",9C83.Z
Nystagmus,9C84
Physiological nystagmus,9C84.0
Congenital forms of nystagmus,9C84.1
Vestibular nystagmus,9C84.2
Seesaw nystagmus,9C84.3
Gaze-evoked nystagmus,9C84.4
Nystagmus occurring in visual system disorders,9C84.5
Eyelid nystagmus,9C84.6
Other specified nystagmus,9C84.Y
"Nystagmus, unspecified",9C84.Z
Certain specified irregular eye movements,9C85
Anomalies of saccadic eye movements,9C85.0
Anomalies of smooth pursuit movements,9C85.1
Nonorganic eye movement disorders,9C85.2
Other specified irregular eye movements,9C85.Y
"Irregular eye movements, unspecified",9C85.Z
Other specified strabismus or ocular motility disorders,9C8Y
"Strabismus or ocular motility disorders, unspecified",9C8Z
Disorders of refraction,9D00
Myopia,9D00.0
Hypermetropia,9D00.1
Astigmatism,9D00.2
Presbyopia,9D00.3
Anisometropia,9D00.4
Aniseikonia,9D00.5
Transient refractive change,9D00.6
Other specified disorders of refraction,9D00.Y
"Disorders of refraction, unspecified",9D00.Z
Disorders of accommodation,9D01
Internal ophthalmoplegia,9D01.0
Paresis of accommodation,9D01.1
Spasm of accommodation,9D01.2
Other specified disorders of accommodation,9D01.Y
"Disorders of accommodation, unspecified",9D01.Z
Other specified disorders of refraction or accommodation,9D0Y
"Disorders of refraction or accommodation, unspecified",9D0Z
Bullous aphakic keratopathy following cataract surgery,9D20
Cataract lens fragments in eye following cataract surgery,9D21
Chorioretinal scars after surgery for detachment,9D22
Conjunctival blebitis after glaucoma surgery,9D23
Complications with glaucoma drainage devices,9D24
Glaucoma due to ocular surgery or laser,9D25
Impairment of visual acuity,9D40
Impairment of visual field,9D41
Patterns of visual field impairment,9D42
"Visual field loss, pattern not specified",9D42.0
Normal Visual Field,9D42.1
Peripheral field deficit,9D42.2
Hemianopic or quadrantic loss,9D42.3
Central scotoma,9D42.4
Para-central scotoma,9D42.5
Homonymous hemianopia or quadrant anopia,9D42.6
Heteronymous hemianopia or quadrant anopia,9D42.7
"Visual field loss, other specified forms",9D42.8
Other specified patterns of visual field impairment,9D42.Y
"Patterns of visual field impairment, unspecified",9D42.Z
Impairment of contrast vision,9D43
Impairment of colour vision,9D44
Impairment of light sensitivity,9D45
Impairment of binocular functions,9D46
Visual discomfort,9D50
Transient visual loss,9D51
Hemifield losses,9D52
Entoptic phenomena,9D53
Visual illusions,9D54
Nonorganic visual loss,9D55
Visual release hallucinations,9D56
Other specified subjective visual experiences,9D5Y
"Subjective visual experiences, unspecified",9D5Z
Other specified impairment of visual functions,9D7Y
"Impairment of visual functions, unspecified",9D7Z
Vision impairment including blindness,9D90
No vision impairment,9D90.0
Mild vision impairment,9D90.1
Moderate vision impairment,9D90.2
Severe vision impairment,9D90.3
"Blindness, binocular",9D90.4
"Blindness, monocular",9D90.5
Other specified vision impairment including blindness,9D90.Y
"Vision impairment including blindness, unspecified",9D90.Z
Near vision deficits,9D91
Specific vision dysfunctions,9D92
Complex vision-related dysfunctions,9D93
Other specified vision impairment,9D9Y
"Vision impairment, unspecified",9D9Z
Other specified diseases of the visual system,9E1Y
"Diseases of the visual system, unspecified",9E1Z
Abscess of external ear,AA00
Cellulitis of external ear,AA01
Malignant otitis externa,AA02
Otomycosis,AA03
Perichondritis of external ear,AA04
Other specified infectious diseases of external ear,AA0Y
"Infectious diseases of external ear, unspecified",AA0Z
Seborrhoeic otitis externa,AA10
Acute noninfectious otitis externa,AA11
Chondrodermatitis nodularis,AA12
Chronic otitis externa,AA13
Other specified noninfectious inflammation of external ear,AA1Y
"Noninfectious inflammation of external ear, unspecified",AA1Z
Other specified otitis externa,AA3Y
"Otitis externa, unspecified",AA3Z
Acquired deformity of external auditory canal,AA40
Exostosis of external auditory canal,AA40.0
Acquired stenosis of external auditory canal,AA40.1
Cholesteatoma of external auditory canal,AA40.2
Other specified acquired deformity of external auditory canal,AA40.Y
Acquired deformity of pinna,AA41
Cauliflower ear,AA41.0
Other specified acquired deformity of pinna,AA41.Y
Impacted cerumen,AA42
Other specified noninflammatory disorders of the external ear,AA4Y
"Noninflammatory disorders of the external ear, unspecified",AA4Z
"Diseases of external ear, unspecified",AA6Z
Acute serous or mucoid otitis media,AA80
Acute nonserous nonsuppurative otitis media,AA81
Chronic serous or mucoid otitis media,AA82
Noninfected otitis media with effusion,AA83
"Nonsuppurative otitis media, unspecified",AA8Z
Acute suppurative otitis media,AA90
Chronic suppurative otitis media,AA91
Chronic tubotympanic suppurative otitis media,AA91.0
Chronic atticoantral suppurative otitis media,AA91.1
Other chronic suppurative otitis media,AA91.2
"Chronic suppurative otitis media, unspecified",AA91.Z
Other specified suppurative otitis media,AA9Y
"Suppurative otitis media, unspecified",AA9Z
Acute otitis media,AB00
Chronic otitis media,AB01
Other specified otitis media,AB0Y
"Otitis media, unspecified",AB0Z
Disorders of Eustachian tube,AB10
Diverticulum of Eustachian tube,AB10.0
Patulous Eustachian tube,AB10.1
Eustachian salpingitis,AB10.2
Obstruction of Eustachian tube,AB10.3
Other specified disorders of Eustachian tube,AB10.Y
"Disorders of Eustachian tube, unspecified",AB10.Z
Mastoiditis or related conditions,AB11
Acute mastoiditis,AB11.0
Chronic mastoiditis,AB11.1
Petrositis,AB11.2
"Mastoiditis, not elsewhere classified",AB11.3
Other specified mastoiditis or related conditions,AB11.Y
Cholesteatoma of middle ear,AB12
Perforation of tympanic membrane,AB13
Central perforation of tympanic membrane,AB13.0
Attic perforation of tympanic membrane,AB13.1
Other marginal perforations of tympanic membrane,AB13.2
Other specified perforation of tympanic membrane,AB13.Y
"Perforation of tympanic membrane, unspecified",AB13.Z
Acute myringitis,AB14
Chronic myringitis,AB15
Tympanosclerosis,AB16
Adhesive middle ear disease,AB17
Discontinuity or dislocation of ear ossicles,AB18
Acquired abnormalities of ear ossicles not related to discontinuity or dislocation,AB19
Polyp of middle ear,AB1A
Aural polyp,AB1A.0
Other specified polyp of middle ear,AB1A.Y
"Polyp of middle ear, unspecified",AB1A.Z
Middle ear cicatrix,AB1B
Other specified diseases of middle ear or mastoid,AB1Y
"Diseases of middle ear or mastoid, unspecified",AB1Z
Acute vestibular syndrome,AB30
Vestibular neuritis,AB30.0
Labyrinthitis,AB30.1
Other specified acute vestibular syndrome,AB30.Y
"Acute vestibular syndrome, unspecified",AB30.Z
Episodic vestibular syndrome,AB31
Meniere disease,AB31.0
Vestibular migraine,AB31.1
Benign positional paroxysmal vertigo,AB31.2
Superior canal dehiscence syndrome,AB31.3
Disembarkment syndrome,AB31.4
Autoimmune inner ear disease,AB31.5
Vestibular paroxysmia,AB31.6
Vertiginous syndromes,AB31.7
Other specified episodic vestibular syndrome,AB31.Y
"Episodic vestibular syndrome, unspecified",AB31.Z
Chronic vestibular syndrome,AB32
Persistent Postural-Perceptual Dizziness,AB32.0
Chronic unilateral idiopathic vestibulopathy,AB32.1
Persistent unilateral vestibulopathy after vestibular neuronitis,AB32.2
Unilateral vestibulopathy due to schwannoma,AB32.3
Unilateral vestibulopathy after medical intervention,AB32.4
Chronic bilateral vestibulopathy,AB32.5
Other specified chronic vestibular syndrome,AB32.Y
"Chronic vestibular syndrome, unspecified",AB32.Z
Otosclerosis,AB33
Disorders of vestibular function,AB34
Idiopathic bilateral vestibulopathy,AB34.0
Other peripheral vertigo,AB34.1
Other specified disorders of vestibular function,AB34.Y
"Disorders of vestibular function, unspecified",AB34.Z
Labyrinthine fistula,AB35
Labyrinthine dysfunction,AB36
Noise effects on inner ear,AB37
Other specified diseases of inner ear,AB3Y
"Diseases of inner ear, unspecified",AB3Z
Congenital hearing impairment,AB50
Congenital conductive hearing loss,AB50.0
Congenital sensorineural hearing loss,AB50.1
Congenital mixed conductive and sensorineural hearing loss,AB50.2
Other specified congenital hearing impairment,AB50.Y
"Congenital hearing impairment, unspecified",AB50.Z
Acquired hearing impairment,AB51
Acquired conductive hearing loss,AB51.0
Acquired sensorineural hearing loss,AB51.1
Acquired mixed conductive and sensorineural hearing loss,AB51.2
Other specified acquired hearing impairment,AB51.Y
"Acquired hearing impairment, unspecified",AB51.Z
Deafness not otherwise specified,AB52
Ototoxic hearing loss,AB53
Presbycusis,AB54
Sudden idiopathic hearing loss,AB55
Hereditary hearing loss,AB56
Auditory synaptopathy or neuropathy,AB57
Other specified disorders with hearing impairment,AB5Y
"Disorders with hearing impairment, unspecified",AB5Z
Otalgia or effusion of ear,AB70
Otorrhoea,AB70.0
Otorrhagia,AB70.1
Otalgia,AB70.2
Degenerative or vascular disorders of ear,AB71
Disorders of acoustic nerve,AB72
Acoustic neuritis,AB72.0
Other specified disorders of acoustic nerve,AB72.Y
"Disorders of acoustic nerve, unspecified",AB72.Z
Atrophy ear,AB73
"Other specified disorders of ear, not elsewhere classified",AB7Y
Recurrent cholesteatoma of postmastoidectomy cavity,AB90
Mucosal cyst of postmastoidectomy cavity,AB91
Granulation of postmastoidectomy cavity,AB92
Chronic inflammation of postmastoidectomy cavity,AB93
Other specified diseases of the ear or mastoid process,AC0Y
"Diseases of the ear or mastoid process, unspecified",AC0Z
Essential hypertension,BA00
Combined diastolic and systolic hypertension,BA00.0
Isolated diastolic hypertension,BA00.1
Isolated systolic hypertension,BA00.2
Other specified essential hypertension,BA00.Y
"Essential hypertension, unspecified",BA00.Z
Hypertensive heart disease,BA01
Hypertensive renal disease,BA02
Hypertensive crisis,BA03
Secondary hypertension,BA04
Combined diastolic and systolic secondary hypertension,BA04.0
Isolated diastolic secondary hypertension,BA04.1
Isolated systolic secondary hypertension,BA04.2
Other specified secondary hypertension,BA04.Y
"Secondary hypertension, unspecified",BA04.Z
Idiopathic hypotension,BA20
Orthostatic hypotension,BA21
Other specified hypotension,BA2Y
"Hypotension, unspecified",BA2Z
Angina pectoris,BA40
Unstable angina,BA40.0
Stable angina,BA40.1
Other specified angina pectoris,BA40.Y
"Angina pectoris, unspecified",BA40.Z
Acute myocardial infarction,BA41
Acute ST elevation myocardial infarction,BA41.0
Acute non-ST elevation myocardial infarction,BA41.1
"Acute myocardial infarction, unspecified",BA41.Z
